setting,run,graph_id,node_with_question_mark,ground_truth,prompt,response,parsed_response,token_limit_fraction
ff,1,0,1758,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood"" and node-label mapping in the text enclosed in triple backticks). Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"". 
        ```Adjacency list: {'464': ['2444', '403', '1758'], '2444': ['464', '1742'], '1742': ['2444', '403', '526', '533', '1427', '1749', '1758'], '403': ['464', '1742'], '1758': ['464', '1742'], '526': ['1742'], '533': ['1742'], '1427': ['1742'], '1749': ['1742']}
Node to Label Mapping : 
Node 2444: Label 2| Node 464: Label 2| Node 1742: Label 2| Node 403: Label 2| Node 526: Label 2| Node 533: Label 2| Node 1427: Label 2| Node 1749: Label 2| Node 1758: Label ?| ```
        ",Label of Node = 2,2,0.034912109375
ff,1,1,2654,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood"" and node-label mapping in the text enclosed in triple backticks). Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"". 
        ```Adjacency list: {'403': ['806', '1383', '2503', '1037', '1742', '464', '2654'], '806': ['403', '1383'], '1383': ['806', '403'], '2503': ['403'], '1037': ['403', '2447', '2654'], '1742': ['403'], '464': ['403'], '2654': ['403', '1037', '2655'], '2447': ['1037'], '2655': ['2654']}
Node to Label Mapping : 
Node 806: Label 2| Node 403: Label 2| Node 1383: Label 2| Node 2503: Label 2| Node 1037: Label 2| Node 2447: Label 2| Node 2654: Label ?| Node 1742: Label 2| Node 464: Label 2| Node 2655: Label 2| ```
        ",Label of Node = 2,2,0.037353515625
ff,1,2,933,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood"" and node-label mapping in the text enclosed in triple backticks). Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"". 
        ```Adjacency list: {'534': ['609', '933'], '609': ['534', '883', '1358'], '883': ['609', '933'], '1358': ['609', '1038'], '933': ['534', '883', '1038'], '1038': ['1358', '933', '2503', '565'], '2503': ['1038'], '565': ['1038']}
Node to Label Mapping : 
Node 609: Label 2| Node 534: Label 2| Node 883: Label 2| Node 1358: Label 2| Node 933: Label ?| Node 1038: Label 2| Node 2503: Label 2| Node 565: Label 2| ```
        ",Label of Node = 2,2,0.0316162109375
ff,1,3,2448,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood"" and node-label mapping in the text enclosed in triple backticks). Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"". 
        ```Adjacency list: {'1067': ['1216', '2448'], '1216': ['1067', '2446'], '2446': ['1216', '609', '1427', '1712', '1716', '1749', '2447', '2448'], '2448': ['1067', '2446', '609', '762'], '609': ['2446', '534', '883', '1358', '2447', '2448'], '1427': ['2446'], '1712': ['2446', '1358'], '1716': ['2446', '1358'], '1749': ['2446', '1358'], '2447': ['2446', '609'], '534': ['609'], '883': ['609'], '1358': ['609', '1712', '1716', '1749'], '762': ['2448']}
Node to Label Mapping : 
Node 1216: Label 2| Node 1067: Label 2| Node 2446: Label 2| Node 609: Label 2| Node 534: Label 2| Node 883: Label 2| Node 1358: Label 2| Node 2447: Label 2| Node 2448: Label ?| Node 1427: Label 2| Node 1712: Label 2| Node 1716: Label 2| Node 1749: Label 2| Node 762: Label 2| ```
        ",Label of Node = 2,2,0.0513916015625
ff,1,4,1067,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood"" and node-label mapping in the text enclosed in triple backticks). Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"". 
        ```Adjacency list: {'526': ['1216'], '1216': ['526', '1067', '2446', '2503'], '1067': ['1216', '2448'], '2446': ['1216', '609', '2448'], '2503': ['1216'], '2448': ['1067', '2446', '609', '762'], '609': ['2446', '2448'], '762': ['2448']}
Node to Label Mapping : 
Node 1216: Label 2| Node 526: Label 2| Node 1067: Label ?| Node 2446: Label 2| Node 2503: Label 2| Node 609: Label 2| Node 2448: Label 2| Node 762: Label 2| ```
        ",Label of Node = 2,2,0.032958984375
ff,1,5,533,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood"" and node-label mapping in the text enclosed in triple backticks). Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"". 
        ```Adjacency list: {'1742': ['2444', '403', '526', '533', '1007', '1427', '1749', '1758'], '2444': ['1742'], '403': ['1742'], '526': ['1742', '1007'], '533': ['1742'], '1007': ['1742', '526'], '1427': ['1742'], '1749': ['1742'], '1758': ['1742']}
Node to Label Mapping : 
Node 2444: Label 2| Node 1742: Label 2| Node 403: Label 2| Node 526: Label 2| Node 533: Label ?| Node 1007: Label 2| Node 1427: Label 2| Node 1749: Label 2| Node 1758: Label 2| ```
        ",Label of Node = 2,2,0.0345458984375
ff,1,6,1383,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood"" and node-label mapping in the text enclosed in triple backticks). Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"". 
        ```Adjacency list: {'403': ['806', '1383', '2503', '1037', '1742', '464', '2654'], '806': ['403', '1383'], '1383': ['806', '403'], '2503': ['403'], '1037': ['403', '2654'], '1742': ['403'], '464': ['403'], '2654': ['403', '1037']}
Node to Label Mapping : 
Node 806: Label 2| Node 403: Label 2| Node 1383: Label ?| Node 2503: Label 2| Node 1037: Label 2| Node 2654: Label 2| Node 1742: Label 2| Node 464: Label 2| ```
        ",Label of Node = 2,2,0.0322265625
ff,1,7,2444,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood"" and node-label mapping in the text enclosed in triple backticks). Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"". 
        ```Adjacency list: {'526': ['1216', '1742'], '1216': ['526', '2503'], '2503': ['1216', '403', '1038', '2444'], '1742': ['526', '403', '2444', '533', '1427', '1758'], '403': ['2503', '1742', '464'], '1038': ['2503'], '2444': ['2503', '464', '1742'], '464': ['403', '2444', '1758'], '1758': ['464', '1742'], '533': ['1742'], '1427': ['1742']}
Node to Label Mapping : 
Node 1216: Label 2| Node 526: Label 2| Node 2503: Label 2| Node 403: Label 2| Node 1038: Label 2| Node 2444: Label ?| Node 464: Label 2| Node 1742: Label 2| Node 533: Label 2| Node 1427: Label 2| Node 1758: Label 2| ```
        ",Label of Node = 2,2,0.041748046875
ff,1,8,526,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood"" and node-label mapping in the text enclosed in triple backticks). Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"". 
        ```Adjacency list: {'565': ['513', '526', '1038', '687', '244', '1528', '2279'], '513': ['565', '1528'], '1528': ['513', '565'], '526': ['565', '1742', '1007', '1216'], '1038': ['565', '2503', '1358'], '687': ['565', '1358'], '244': ['565', '1358'], '2279': ['565', '2466'], '1067': ['2307', '1216'], '2307': ['1067', '1742'], '1742': ['2307', '2444', '526', '403', '1427', '533', '580', '1007', '1358', '1749', '1758'], '1216': ['1067', '2503', '526', '2446'], '2444': ['1742', '580', '2503'], '403': ['1742', '2503'], '1427': ['1742', '2446'], '533': ['1742', '2466'], '580': ['1742', '2444', '1358', '1758'], '1007': ['1742', '526', '2466'], '1358': ['1742', '580', '1038', '687', '244', '1749', '1758'], '1749': ['1742', '1358', '2446'], '1758': ['1742', '580', '1358', '2466'], '2503': ['2444', '1038', '403', '1216'], '2466': ['1007', '533', '1758', '2279'], '2446': ['1216', '1427', '1749']}
Node to Label Mapping : 
Node 513: Label 2| Node 565: Label 2| Node 1528: Label 2| Node 2307: Label 2| Node 1067: Label 2| Node 1742: Label 2| Node 2444: Label 2| Node 580: Label 2| Node 2503: Label 2| Node 526: Label ?| Node 1007: Label 2| Node 1216: Label 2| Node 1038: Label 2| Node 1358: Label 2| Node 2446: Label 2| Node 1427: Label 2| Node 1749: Label 2| Node 403: Label 2| Node 533: Label 2| Node 2466: Label 2| Node 1758: Label 2| Node 2279: Label 2| Node 687: Label 2| Node 244: Label 2| ```
        ",Label of Node = 2,2,0.0867919921875
ff,1,9,464,2,"Task : Node Label Prediction (Predict the label of the node marked with a ?, given the adjacency list information as a dictionary of type ""node:node neighborhood"" and node-label mapping in the text enclosed in triple backticks). Response should be in the format ""Label of Node = <predicted label>"". If the predicted label cannot be determined, return ""Label of Node = -1"". 
        ```Adjacency list: {'403': ['806', '1383', '2503', '1037', '1742', '464', '2654'], '806': ['403', '1383'], '1383': ['806', '403'], '2503': ['403'], '1037': ['403', '2654'], '1742': ['403'], '464': ['403'], '2654': ['403', '1037']}
Node to Label Mapping : 
Node 806: Label 2| Node 403: Label 2| Node 1383: Label 2| Node 2503: Label 2| Node 1037: Label 2| Node 2654: Label 2| Node 1742: Label 2| Node 464: Label ?| ```
        ",Label of Node = 2,2,0.0322265625
